m_phi,θ_squared,N_phi
0.0294258,2.33885e-07,6.32284e-06
0.0294258,2.25398e-07,6.0934e-06
0.0294258,2.17219e-07,5.8723e-06
0.0294258,2.09337e-07,5.65921e-06
0.0294258,2.01741e-07,5.45386e-06
0.0296123,0.000795131,0.0214943
0.0296123,0.000766279,0.0207144
0.0296123,0.000738473,0.0199627
0.0296123,0.000711677,0.0192384
0.0296123,0.000685853,0.0185403
0.0296123,0.000660966,0.0178675
0.0296123,0.000636982,0.0172192
0.0296123,0.000613868,0.0165943
0.0296123,0.000591593,0.0159922
0.0296123,0.000570126,0.0154119
0.0296123,0.000549438,0.0148527
0.0296123,0.000529501,0.0143137
0.0296123,0.000510288,0.0137943
0.0296123,0.000491771,0.0132938
0.0296123,0.000473927,0.0128114
0.0296123,0.00045673,0.0123465
0.0296123,0.000440156,0.0118985
0.0296123,0.000424185,0.0114667
0.0296123,0.000408793,0.0110507
0.0296123,0.000393959,0.0106497
0.0296123,0.000379664,0.0102632
0.0296123,0.000365887,0.00989082
0.0296123,0.00035261,0.00953192
0.0296123,0.000339815,0.00918604
0.0296123,0.000327485,0.00885271
0.0296123,0.000315602,0.00853148
0.0296123,0.00030415,0.0082219
0.0296123,0.000293113,0.00792356
0.0296123,0.000282477,0.00763604
0.0296123,0.000272227,0.00735896
0.0296123,0.000262349,0.00709193
0.0296123,0.000252829,0.00683459
0.0296123,0.000243655,0.00658659
0.0296123,0.000234814,0.00634758
0.0296123,0.000226293,0.00611725
0.0296123,0.000218082,0.00589528
0.0296123,0.000210168,0.00568136
0.0296123,0.000202542,0.00547521
0.0296123,0.000195193,0.00527653
0.0296123,0.00018811,0.00508506
0.0296123,0.000181284,0.00490055
0.0296123,0.000174706,0.00472272
0.0296123,0.000168366,0.00455135
0.0296123,0.000162257,0.0043862
0.0296123,0.000156369,0.00422704
0.0296123,0.000150695,0.00407366
0.0296123,0.000145227,0.00392584
0.0296123,0.000139957,0.00378339
0.0296123,0.000134879,0.0036461
0.0296123,0.000129984,0.0035138
0.0296123,0.000125268,0.00338629
