m_phi(GeV),sin_theta^2,Q_phi,C_phiN,G_phi,xi,P_esc,V_SN,lambda_phi,energy loss rate
0.0275021,1.92137e-10,2.7969e-11,3.15512e-08,0.446417,0.76725,0.247884,4.18879e+18,716971,9.15017e+54
0.0533941,1.70775e-10,1.6086e-11,2.97455e-08,0.446417,0.496471,0.375457,4.18879e+18,1.02093e+06,7.97096e+54
0.128813,8.73085e-12,1.55428e-13,6.7257e-09,0.446417,0.0938304,0.969612,4.18879e+18,3.243e+07,1.98898e+53
0.0406911,4.02101e-12,4.75327e-13,4.56433e-09,0.446417,0.623058,0.974516,4.18879e+18,3.87407e+07,6.11343e+53
0.0023304,3.31206e-10,6.25388e-11,4.14246e-08,0.446417,0.99523,0.0541345,4.18879e+18,342902,4.46815e+54
0.022429,4.52256e-12,7.06346e-13,4.84063e-09,0.446417,0.823198,0.966175,4.18879e+18,2.90615e+07,9.00694e+53
0.00422312,1.79746e-12,3.3659e-13,3.05168e-09,0.446417,0.986991,0.984411,4.18879e+18,6.36468e+07,4.37302e+53
0.0226046,7.161e-10,1.11583e-10,6.09111e-08,0.446417,0.821284,0.00434039,4.18879e+18,183834,6.39188e+53
0.00235512,5.42998e-13,1.02521e-13,1.67729e-09,0.446417,0.995146,0.995231,4.18879e+18,2.09171e+08,1.34661e+53
0.0846214,3.13729e-12,1.56346e-13,4.03169e-09,0.446417,0.262665,0.985907,4.18879e+18,7.04774e+07,2.03435e+53
0.0122987,9.64985e-13,1.69655e-13,2.23599e-09,0.446417,0.926652,0.992023,4.18879e+18,1.24855e+08,2.22122e+53
0.00110467,4.21294e-13,7.97979e-14,1.47741e-09,0.446417,0.998336,0.996287,4.18879e+18,2.6883e+08,1.04925e+53
0.00418231,1.00706e-10,1.88621e-11,2.28422e-08,0.446417,0.987202,0.4146,4.18879e+18,1.13579e+06,1.0321e+55
0.0929747,2.8704e-11,1.18901e-12,1.2195e-08,0.446417,0.218331,0.884241,4.18879e+18,8.13154e+06,1.38759e+54
0.164644,1.35041e-09,9.69871e-12,8.36454e-08,0.446417,0.0378547,0.0152397,4.18879e+18,239328,1.95071e+53
0.0123233,6.90492e-13,1.21366e-13,1.89142e-09,0.446417,0.926426,0.994286,4.18879e+18,1.74522e+08,1.59262e+53
0.00118949,3.45137e-12,6.53634e-13,4.22869e-09,0.446417,0.998192,0.96999,4.18879e+18,3.28191e+07,8.36769e+53
0.00654859,3.13075e-10,5.77976e-11,4.02748e-08,0.446417,0.973045,0.0669672,4.18879e+18,369884,5.10829e+54
0.0104316,3.9052e-12,6.98817e-13,4.49812e-09,0.446417,0.943173,0.967664,4.18879e+18,3.04223e+07,8.92466e+53
0.133167,4.17956e-11,6.683e-13,1.47155e-08,0.446417,0.0842776,0.865111,4.18879e+18,6.90719e+06,7.6304e+53
0.0380843,5.7139e-11,7.05574e-12,1.72058e-08,0.446417,0.650849,0.686784,4.18879e+18,2.66159e+06,6.39538e+54
0.0208863,6.9887e-12,1.11368e-12,6.01738e-09,0.446417,0.839913,0.947503,4.18879e+18,1.85446e+07,1.39266e+54
0.00788709,7.99263e-12,1.46114e-12,6.43509e-09,0.446417,0.963549,0.933833,4.18879e+18,1.46077e+07,1.8008e+54
0.0208243,8.46045e-11,1.34928e-11,2.09366e-08,0.446417,0.84058,0.520391,4.18879e+18,1.53101e+06,9.26692e+54
0.00153578,4.90368e-13,9.28026e-14,1.59393e-09,0.446417,0.997492,0.995683,4.18879e+18,2.31136e+08,1.21951e+53
0.00136763,5.06176e-12,9.58291e-13,5.12106e-09,0.446417,0.997854,0.95631,4.18879e+18,2.23846e+07,1.20948e+54
0.0608184,7.0825e-10,5.78609e-11,6.05763e-08,0.446417,0.430595,0.0219351,4.18879e+18,261843,1.67505e+54
